movieId,title,tmdbId
1,Toy Story (1995),862
2,Jumanji (1995),8844
3,Grumpier Old Men (1995),15602
4,Waiting to Exhale (1995),31357
5,Father of the Bride Part II (1995),11862
6,Heat (1995),949
7,Sabrina (1995),11860
8,Tom and Huck (1995),45325
9,Sudden Death (1995),9091
10,GoldenEye (1995),710
11,"American President, The (1995)",9087
12,Dracula: Dead and Loving It (1995),12110
13,Balto (1995),21032
14,Nixon (1995),10858
15,Cutthroat Island (1995),1408
16,Casino (1995),524
17,Sense and Sensibility (1995),4584
18,Four Rooms (1995),5
19,Ace Ventura: When Nature Calls (1995),9273
20,Money Train (1995),11517
21,Get Shorty (1995),8012
22,Copycat (1995),1710
23,Assassins (1995),9691
24,Powder (1995),12665
25,Leaving Las Vegas (1995),451
26,Othello (1995),16420
27,Now and Then (1995),9263
28,Persuasion (1995),17015
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),37557
31,Dangerous Minds (1995),9909
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),63
34,Babe (1995),9598
36,Dead Man Walking (1995),687
38,It Takes Two (1995),33689
39,Clueless (1995),9603
40,"Cry, the Beloved Country (1995)",34615
41,Richard III (1995),31174
42,Dead Presidents (1995),11443
43,Restoration (1995),35196
44,Mortal Kombat (1995),9312
45,To Die For (1995),577
46,How to Make an American Quilt (1995),11861
47,Seven (a.k.a. Se7en) (1995),807
48,Pocahontas (1995),10530
49,When Night Is Falling (1995),8391
50,"Usual Suspects, The (1995)",629
52,Mighty Aphrodite (1995),11448
53,Lamerica (1994),49133
54,"Big Green, The (1995)",26441
55,Georgia (1995),97406
57,Home for the Holidays (1995),9089
58,"Postman, The (Postino, Il) (1994)",11010
60,"Indian in the Cupboard, The (1995)",11359
61,Eye for an Eye (1996),17182
62,Mr. Holland's Opus (1995),2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),10607
64,Two if by Sea (1996),19760
65,Bio-Dome (1996),9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),11525
68,French Twist (Gazon maudit) (1995),4482
69,Friday (1995),10634
70,From Dusk Till Dawn (1996),755
71,Fair Game (1995),11859
72,Kicking and Screaming (1995),28387
73,"Misérables, Les (1995)",48750
74,Bed of Roses (1996),20927
75,Big Bully (1996),36929
76,Screamers (1995),9102
77,Nico Icon (1995),124626
78,"Crossing Guard, The (1995)",27526
79,"Juror, The (1996)",9623
80,"White Balloon, The (Badkonake sefid) (1995)",46785
81,Things to Do in Denver When You're Dead (1995),400
82,Antonia's Line (Antonia) (1995),880
83,Once Upon a Time... When We Were Colored (1995),146599
85,Angels and Insects (1995),8447
86,White Squall (1996),10534
87,Dunston Checks In (1996),17414
88,Black Sheep (1996),13997
89,Nick of Time (1995),2086
92,Mary Reilly (1996),9095
93,Vampire in Brooklyn (1995),12158
94,Beautiful Girls (1996),9283
95,Broken Arrow (1996),9208
96,In the Bleak Midwinter (1995),40154
97,"Hate (Haine, La) (1995)",406
99,Heidi Fleiss: Hollywood Madam (1995),63076
100,City Hall (1996),11062
101,Bottle Rocket (1996),13685
102,Mr. Wrong (1996),47475
103,Unforgettable (1996),2045
104,Happy Gilmore (1996),9614
105,"Bridges of Madison County, The (1995)",688
106,Nobody Loves Me (Keiner liebt mich) (1994),11907
107,Muppet Treasure Island (1996),10874
108,Catwalk (1996),89333
110,Braveheart (1995),197
111,Taxi Driver (1976),103
112,Rumble in the Bronx (Hont faan kui) (1995),33542
113,Before and After (1996),43566
116,Anne Frank Remembered (1995),51352
117,"Young Poisoner's Handbook, The (1995)",16934
118,If Lucy Fell (1996),10324
119,"Steal Big, Steal Little (1995)",78406
121,"Boys of St. Vincent, The (1992)",32119
122,Boomerang (1992),11066
123,Chungking Express (Chung Hing sam lam) (1994),11104
125,Flirting With Disaster (1996),2074
126,"NeverEnding Story III, The (1994)",27793
128,Jupiter's Wife (1994),290157
129,Pie in the Sky (1996),110972
132,Jade (1995),11863
135,Down Periscope (1996),9101
137,Man of the Year (1995),5757
140,Up Close and Personal (1996),9302
141,"Birdcage, The (1996)",11000
144,"Brothers McMullen, The (1995)",16388
145,Bad Boys (1995),9737
146,"Amazing Panda Adventure, The (1995)",30765
147,"Basketball Diaries, The (1995)",10474
148,"Awfully Big Adventure, An (1995)",22279
149,Amateur (1994),30157
150,Apollo 13 (1995),568
151,Rob Roy (1995),11780
